,intercept,r_squared
A,0.0,0.0
AA,0.0,0.0
UFCS,0.0,0.0
UFPI,0.0,0.0
UFPT,0.0,0.0
UFS,0.0,0.0
UG,0.0,0.0
UGA,0.0,0.0
UGE,0.0,0.0
UGI,0.0,0.0
UGL,0.0,0.0
UGP,0.0,0.0
UHAL,0.0,0.0
UHN,0.0,0.0
UHS,0.0,0.0
UHT,0.0,0.0
UIHC,0.0,0.0
UIL,0.0,0.0
UIS,0.0,0.0
UKK,0.0,0.0
UKW,0.0,0.0
UL,0.0,0.0
ULBI,0.0,0.0
ULE,0.0,0.0
ULST,0.0,0.0
ULTA,0.0,0.0
ULTI,0.0,0.0
UMBF,0.0,0.0
UMDD,0.0,0.0
UMH,0.0,0.0
UMPQ,0.0,0.0
UMX,0.0,0.0
UN,0.0,0.0
UNAM,0.0,0.0
UPV,0.0,0.0
URE,0.0,0.0
URI,0.0,0.0
URS,0.0,0.0
URTH,0.0,0.0
URTY,0.0,0.0
USA,0.0,0.0
USAC,0.0,0.0
USAK,0.0,0.0
USAP,0.0,0.0
USB,0.0,0.0
VNO,0.0,0.0
VNQ,0.0,0.0
VNQI,0.0,0.0
VNR,0.0,0.0
VNTV,0.0,0.0
VO,0.0,0.0
VOCS,0.0,0.0
VOD,0.0,0.0
VOE,0.0,0.0
VOLC,0.0,0.0
VONE,0.0,0.0
VONG,0.0,0.0
VONV,0.0,0.0
VOO,0.0,0.0
VOOG,0.0,0.0
